date,gdp_current,gdp_real,gdp_growth,gdp_deflator,deflator_yoy
2008-Q1,2978.8177,3537.7893,3.9325,84.2,3.8291
2008-Q2,3090.4589,3640.9237,4.6241,84.8812,3.2715
2008-Q3,3064.744,3563.7935,0.9948,85.9967,4.954
2008-Q4,3226.9339,3572.5044,1.896,90.3269,7.6865
2009-Q1,3212.5321,3617.7201,2.2593,88.7999,5.4631
2009-Q2,3283.6004,3679.1597,1.0502,89.2487,5.1454
2009-Q3,3285.9377,3679.2191,3.2388,89.3107,3.8536
2009-Q4,3354.622,3708.1322,3.7964,90.4666,0.1547
2010-Q1,3336.7636,3700.3285,2.2834,90.1748,1.5483
2010-Q2,3326.3806,3776.326,2.641,88.0851,-1.3038
2010-Q3,3390.6102,3799.7692,3.2765,89.232,-0.0881
2010-Q4,3556.7997,3833.5068,3.3811,92.7819,2.5593
2011-Q1,3518.4687,3817.399,3.1638,92.1693,2.2118
2011-Q2,3546.2208,3854.2562,2.0637,92.0079,4.4534
2011-Q3,3657.1996,3942.5548,3.7577,92.7622,3.9562
2011-Q4,3712.8854,4006.3171,4.5079,92.6758,-0.1144
2012-Q1,3854.9055,4090.8645,7.1637,94.2321,2.2381
2012-Q2,3860.1264,4114.2172,6.7448,93.8241,1.974
2012-Q3,3867.4732,4106.6848,4.163,94.1751,1.5231
2012-Q4,3813.3531,4031.3628,0.6252,94.5922,2.0679
2013-Q1,4062.4702,4246.4,3.802,95.6686,1.5244
2013-Q2,4086.3501,4260.0661,3.545,95.9222,2.2362
2013-Q3,4170.4997,4322.2405,5.2489,96.4893,2.4573
2013-Q4,4339.2333,4330.8485,7.4289,100.1936,5.9216
2014-Q1,4325.9731,4412.4757,3.911,98.0396,2.4783
2014-Q2,4366.9881,4479.6093,5.1535,97.4859,1.6302
2014-Q3,4497.5541,4521.418,4.6082,99.4722,3.0914
2014-Q4,4775.6077,4727.5475,9.1598,101.0166,0.8214
2015-Q1,4590.3825,4647.0709,5.3166,98.7801,0.7553
2015-Q2,4748.9242,4764.076,6.3503,99.682,2.2527
2015-Q3,4778.4968,4849.1232,7.2478,98.5435,-0.9336
2015-Q4,4925.2631,4908.8253,3.8345,100.3349,-0.6748
2016-Q1,4771.2747,4876.8954,4.9456,97.8343,-0.9575
2016-Q2,5010.6444,5035.8267,5.7042,99.4999,-0.1827
2016-Q3,4995.1982,5002.4485,3.1619,99.8551,1.331
2016-Q4,5261.4487,5123.3954,4.3711,102.6946,2.3518
2017-Q1,5013.4244,5099.1682,4.5577,98.3185,0.4949
2017-Q2,5286.7873,5232.9196,3.9138,101.0294,1.5372
2017-Q3,5255.8917,5237.4428,4.6976,100.3523,0.4979
2017-Q4,5404.7616,5178.6363,1.0782,104.3665,1.628
2018-Q1,5292.4533,5298.693,3.9129,99.8822,1.5904
2018-Q2,5617.9983,5479.8341,4.7185,102.5213,1.4767
2018-Q3,5496.5148,5359.2337,2.3254,102.5616,2.2015
2018-Q4,5796.3627,5431.1028,4.8752,106.7253,2.2601
2019-Q1,5481.0595,5460.0354,3.0449,100.3851,0.5035
2019-Q2,5875.8398,5668.6365,3.4454,103.6553,1.1061
2019-Q3,5776.2245,5577.1022,4.0653,103.5704,0.9836
2019-Q4,6110.5382,5612.6206,3.3422,108.8714,2.0109
2020-Q1,5687.1421,5536.2536,1.3959,102.7255,2.3314
2020-Q2,5818.852,5554.8226,-2.0078,104.7532,1.0592
2020-Q3,5949.7244,5598.7117,0.3875,106.2695,2.6061
2020-Q4,6012.7885,5686.6196,1.3184,105.7357,-2.8802
2021-Q1,6081.1813,5691.7246,2.8082,106.8425,4.0078
2021-Q2,6260.6572,5824.9263,4.8625,107.4805,2.6035
2021-Q3,6200.3436,5773.2701,3.1178,107.3974,1.0614
2021-Q4,6418.3139,5833.6028,2.5847,110.0232,4.0549
2022-Q1,6712.8579,5898.6706,3.6359,113.8029,6.5146
2022-Q2,6999.6447,6074.0836,4.2774,115.2379,7.2175
2022-Q3,6818.3222,6002.6136,3.9725,113.5892,5.7653
2022-Q4,7131.1952,6012.2611,3.0626,118.6109,7.8054
2023-Q1,7153.8843,6070.2109,2.9081,117.8523,3.5583
2023-Q2,7520.008,6281.7159,3.4183,119.7126,3.883
2023-Q3,7416.5673,6173.8695,2.853,120.1283,5.7568
2023-Q4,7800.9435,6240.9711,3.8041,124.9957,5.383
2024-Q1,7809.5599,6305.9753,3.884,123.8438,5.0839
2024-Q2,8146.6738,6430.9098,2.3751,126.68,5.8201
2024-Q3,8082.5999,6381.2297,3.3587,126.6621,5.439
2024-Q4,8935.7141,6505.2957,4.2353,137.3606,9.8923
