date,m2,m2_growth,credit,credit_growth,avoirs_ext_nets,credit_m2_ratio
2008-Q1,1910.8503,15.9616,1080.4403,10.7259,1591.408,56.54
2008-Q2,1866.717,11.4407,1124.09,15.562,1636.1167,60.22
2008-Q3,1927.027,12.0089,1151.1023,13.121,1721.6837,59.73
2008-Q4,2070.236,14.0387,1236.1147,16.2202,1771.7153,59.71
2009-Q1,2095.762,9.6769,1275.141,18.0205,1694.8477,60.84
2009-Q2,2092.265,12.0826,1309.052,16.4544,1722.535,62.57
2009-Q3,2106.8463,9.3314,1337.1407,16.1618,1667.477,63.47
2009-Q4,2169.5507,4.7973,1378.1143,11.4876,1691.1183,63.52
2010-Q1,2293.4257,9.4316,1464.179,14.8249,1750.2893,63.84
2010-Q2,2333.006,11.5062,1521.3203,16.2154,1768.867,65.21
2010-Q3,2425.7773,15.1378,1452.589,8.634,1749.277,59.88
2010-Q4,2566.7397,18.3074,1546.2167,12.198,1793.327,60.24
2011-Q1,2575.1193,12.2827,1608.5853,9.8626,1833.178,62.47
2011-Q2,2587.78,10.9204,1752.9133,15.2232,1762.169,67.74
2011-Q3,2690.637,10.9185,1879.6167,29.3977,1583.0253,69.86
2011-Q4,2816.8123,9.7428,1961.8003,26.8775,1565.143,69.65
2012-Q1,2761.5953,7.2415,1917.0337,19.1751,1562.9717,69.42
2012-Q2,2699.8157,4.3294,2012.6633,14.8182,1487.0073,74.55
2012-Q3,2764.1813,2.7333,2056.9643,9.4353,1448.157,74.41
2012-Q4,2869.573,1.8731,2005.2947,2.2171,1486.7403,69.88
2013-Q1,3007.413,8.9013,2047.884,6.8257,1568.3383,68.09
2013-Q2,3044.9623,12.7841,2094.0097,4.0417,1601.1773,68.77
2013-Q3,3078.4227,11.3683,2194.435,6.6832,1509.7667,71.28
2013-Q4,3179.949,10.8161,2286.3553,14.0159,1500.9047,71.9
2014-Q1,3284.8257,9.2243,2287.5687,11.704,1546.3967,69.64
2014-Q2,3309.448,8.686,2341.1407,11.8018,1618.971,70.74
2014-Q3,3324.9997,8.0098,2376.2887,8.287,1564.0067,71.47
2014-Q4,3507.3327,10.2952,2447.4737,7.047,1630.0053,69.78
2015-Q1,3550.5657,8.0899,2429.4997,6.2044,1612.4483,68.43
2015-Q2,3513.818,6.1754,2531.4357,8.1283,1578.8287,72.04
2015-Q3,3642.0053,9.534,2701.329,13.6785,1600.5847,74.17
2015-Q4,3835.128,9.346,2791.373,14.0512,1995.9043,72.78
2016-Q1,3952.7093,11.3262,2724.7977,12.1547,2045.5007,68.93
2016-Q2,3918.4593,11.5157,2734.7463,8.0314,1936.5473,69.79
2016-Q3,3984.2673,9.3976,2822.1843,4.4739,1745.2927,70.83
2016-Q4,4073.2873,6.2099,2912.6337,4.3441,1713.2747,71.51
2017-Q1,4121.8547,4.2792,2957.004,8.522,1699.7613,71.74
2017-Q2,4136.1283,5.555,3002.9113,9.8058,1667.4717,72.6
2017-Q3,4199.8073,5.4098,3011.0887,6.6936,1748.238,71.7
2017-Q4,4308.1477,5.7659,3028.094,3.9641,1858.446,70.29
2018-Q1,4417.3837,7.1698,3075.21,3.9975,2018.8197,69.62
2018-Q2,4482.629,8.3774,3177.797,5.8239,1900.5283,70.89
2018-Q3,4500.0787,7.1496,3260.277,8.2757,1826.7607,72.45
2018-Q4,4771.9553,10.7658,3348.2023,10.5713,1924.0097,70.16
2019-Q1,4944.2237,11.9265,3351.8807,8.9968,2069.2413,67.79
2019-Q2,5128.5317,14.409,3364.6583,5.8802,2202.04,65.61
2019-Q3,5225.0017,16.1091,3351.2287,2.7897,2088.0523,64.14
2019-Q4,5346.1603,12.0329,3421.0357,2.1753,2212.3527,63.99
2020-Q1,5527.3587,11.7943,3415.9027,1.91,2441.9267,61.8
2020-Q2,5670.6953,10.5715,3407.6177,1.2768,2365.9193,60.09
2020-Q3,5780.6997,10.6354,3486.7907,4.0451,2261.265,60.32
2020-Q4,5997.1127,12.1761,3601.2473,5.2678,2320.5697,60.05
2021-Q1,6185.0127,11.8982,3556.5797,4.1183,2391.8887,57.5
2021-Q2,6582.0137,16.0707,3624.0627,6.3518,2552.869,55.06
2021-Q3,6728.0913,16.3889,3758.107,7.7813,2584.5053,55.86
2021-Q4,6980.971,16.4055,3982.6107,10.5898,2551.9623,57.05
2022-Q1,7195.1767,16.3324,4170.22,17.2537,2353.7547,57.96
2022-Q2,7254.257,10.2133,4260.4397,17.5598,2590.9523,58.73
2022-Q3,7559.3973,12.3557,4391.487,16.8537,2811.132,58.09
2022-Q4,7797.6373,11.6985,4522.13,13.5469,2899.2737,57.99
2023-Q1,8012.545,11.3599,4656.9057,11.6705,2881.576,58.12
2023-Q2,8159.1053,12.4733,4866.2503,14.2194,2886.262,59.64
2023-Q3,7971.4423,5.4508,5144.7503,17.1528,2419.6227,64.54
2023-Q4,8221.6109,5.4372,5283.7637,16.8424,2493.8856,64.27
2024-Q1,8498.7512,6.0681,5391.0067,15.7637,2740.1549,63.43
2024-Q2,8635.9177,5.8439,5617.2937,15.4337,2825.3324,65.05
2024-Q3,8629.6642,8.2572,5900.337,14.6866,2642.4626,68.37
2024-Q4,8833.8025,7.4461,6117.245,15.7744,2731.6445,69.25
