date,gov_revenue,gov_revenue_hd,gov_spending,oil_revenue,fiscal_balance,oil_revenue_share
2008-Q1,500.3,493.16,335.68,130.97,157.48,26.56
2008-Q2,616.15,587.57,510.55,275.45,77.02,46.88
2008-Q3,546.89,524.0,578.81,242.58,-54.81,46.29
2008-Q4,546.64,513.01,537.05,161.33,-24.04,31.45
2009-Q1,438.4,422.2,367.6,43.2,54.6,10.23
2009-Q2,506.7,477.8,476.4,143.9,1.4,30.12
2009-Q3,462.4,455.3,536.7,161.5,-81.4,35.47
2009-Q4,518.9,484.3,551.1,158.7,-66.8,32.77
2010-Q1,463.7,460.7,452.0,71.8,8.7,15.58
2010-Q2,458.1,430.6,525.4,140.1,-94.8,32.54
2010-Q3,453.3,440.7,456.2,128.3,-15.5,29.11
2010-Q4,545.1,529.0,566.7,150.3,-37.7,28.41
2011-Q1,581.5,567.9,409.4,132.9,158.5,23.4
2011-Q2,511.3,506.5,640.9,131.5,-134.4,25.96
2011-Q3,544.5,543.2,666.4,171.8,-123.2,31.63
2011-Q4,615.1,568.4,685.9,201.8,-117.5,35.5
2012-Q1,584.5,582.2,545.4,112.8,36.8,19.37
2012-Q2,646.6,615.1,704.5,187.6,-89.4,30.5
2012-Q3,562.8,561.9,613.0,176.3,-51.1,31.38
2012-Q4,629.6,609.1,692.0,216.3,-82.9,35.51
2013-Q1,590.5,588.4,551.4,100.1,37.0,17.01
2013-Q2,582.6,560.0,813.4,151.4,-253.4,27.04
2013-Q3,675.2,675.2,866.4,208.8,-191.2,30.92
2013-Q4,773.7,752.3,968.0,239.3,-215.7,31.81
2014-Q1,680.66,679.89,611.74,102.57,68.15,15.09
2014-Q2,697.14,675.83,978.3,177.12,-302.46,26.21
2014-Q3,705.58,704.48,855.33,179.28,-150.86,25.45
2014-Q4,820.38,798.31,1063.34,219.83,-265.03,27.54
2015-Q1,652.25,647.48,711.38,17.68,-63.9,2.73
2015-Q2,817.62,813.61,867.61,158.99,-54.0,19.54
2015-Q3,777.8,777.0,860.67,198.76,-83.67,25.58
2015-Q4,765.55,764.07,976.03,180.95,-211.96,23.68
2016-Q1,669.0,668.3,849.6,8.0,-181.3,1.2
2016-Q2,697.5,682.6,860.7,110.4,-178.1,16.17
2016-Q3,661.7,660.6,854.4,123.4,-193.8,18.68
2016-Q4,810.3,773.0,1476.8,183.3,-703.8,23.71
2017-Q1,687.77,683.82,690.66,83.83,-6.85,12.26
2017-Q2,756.93,754.05,877.0,111.63,-122.95,14.8
2017-Q3,687.6,670.1,894.0,89.0,-223.9,13.28
2017-Q4,908.4,868.0,1338.9,101.5,-470.9,11.69
2018-Q1,748.4,732.97,885.53,95.52,-152.55,13.03
2018-Q2,853.81,822.24,937.3,124.64,-115.06,15.16
2018-Q3,832.11,827.78,1014.5,123.44,-186.71,14.91
2018-Q4,1088.26,1052.93,1185.41,156.68,-132.49,14.88
2019-Q1,785.79,775.91,776.72,125.74,-0.81,16.21
2019-Q2,879.11,829.65,1160.05,150.78,-330.4,18.17
2019-Q3,811.17,796.03,1052.1,155.15,-256.07,19.49
2019-Q4,1142.04,1107.03,1402.03,152.87,-295.0,13.81
2020-Q1,825.04,817.47,871.58,116.96,-54.12,14.31
2020-Q2,690.8,684.7,951.15,80.13,-266.45,11.7
2020-Q3,820.21,805.8,868.51,113.49,-62.71,14.08
2020-Q4,885.39,869.48,1257.94,117.64,-388.46,13.53
2021-Q1,866.13,851.59,752.62,95.9,98.97,11.26
2021-Q2,835.23,813.28,1132.41,106.31,-319.13,13.07
2021-Q3,885.78,867.16,1131.13,133.76,-263.97,15.43
2021-Q4,1020.7,965.26,1238.84,146.23,-273.58,15.15
2022-Q1,1025.94,1007.77,755.27,161.59,252.5,16.03
2022-Q2,1072.72,1029.16,1186.85,240.27,-157.69,23.35
2022-Q3,1112.05,1092.06,1306.44,283.8,-214.38,25.99
2022-Q4,1286.66,1264.18,1476.33,288.19,-212.16,22.8
2023-Q1,1253.86,1217.09,888.0,249.08,329.09,20.46
2023-Q2,1182.59,1160.59,1570.12,204.19,-409.53,17.59
2023-Q3,1132.82,1078.01,1092.56,208.17,-14.54,19.31
2023-Q4,1412.65,1386.84,1561.49,215.58,-174.65,15.54
2024-Q1,1226.59,1199.1,1113.35,167.36,85.74,13.96
2024-Q2,1186.09,1170.14,1360.79,181.58,-190.65,15.52
2024-Q3,1188.33,1168.36,1278.3,162.45,-109.94,13.9
2024-Q4,1474.2,1452.81,1761.23,177.33,-308.42,12.21
