date,inflation_std,log_fx_reserves_std,gdp_growth_std,oil_revenue_share_std
2009-Q1,0.608385,0.40579,-0.817433,-1.230341
2009-Q2,1.041166,0.40579,-1.493668,1.263568
2009-Q3,-0.147843,0.40579,-0.269611,1.934378
2009-Q4,-0.804003,0.40579,0.042248,1.595838
2010-Q1,-1.060203,0.400332,-0.803954,-0.559531
2010-Q2,-1.37164,0.499153,-0.603953,1.567
2010-Q3,-0.627371,0.411823,-0.248526,1.136929
2010-Q4,-0.087378,0.501738,-0.190024,1.049159
2011-Q1,0.061921,0.539658,-0.311557,0.42098
2011-Q2,0.038574,0.95074,-0.92683,0.741966
2011-Q3,0.257087,0.882083,0.020604,1.452899
2011-Q4,0.01476,1.03175,0.440181,1.93814
2012-Q1,-0.357763,1.060477,1.925538,-0.084321
2012-Q2,0.062801,1.07484,1.691252,1.311214
2012-Q3,-0.250344,1.281387,0.247283,1.421553
2012-Q4,-0.246772,1.288856,-1.731365,1.939393
2013-Q1,-0.085566,1.117356,0.04538,-0.38023
2013-Q2,-0.430134,1.320168,-0.098357,0.877382
2013-Q3,-0.50468,1.159297,0.854613,1.363876
2013-Q4,-0.396951,1.260129,2.073861,1.475469
2014-Q1,-0.757878,1.113334,0.106342,-0.62097
2014-Q2,-0.930369,1.194919,0.801257,0.773312
2014-Q3,-0.009519,1.111036,0.496278,0.67802
2014-Q4,-0.219801,1.129709,3.041932,0.940074
2015-Q1,0.082266,0.644224,0.892477,-2.170729
2015-Q2,0.610248,0.614635,1.470613,-0.063006
2015-Q3,-0.288186,0.34374,1.972574,0.69432
2015-Q4,-0.534602,0.279392,0.063557,0.456088
2016-Q1,-0.665161,-0.160417,0.684982,-2.362568
2016-Q2,-0.893096,-0.644753,1.109257,-0.485554
2016-Q3,-1.107364,-1.319549,-0.31262,-0.170837
2016-Q4,-1.23989,-1.735802,0.363671,0.45985
2017-Q1,-1.205568,-2.057256,0.468034,-0.975809
2017-Q2,-1.143964,-2.208073,0.107908,-0.657331
2017-Q3,-1.075837,-1.810779,0.546278,-0.847916
2017-Q4,-0.975148,-1.624054,-1.478008,-1.047279
2018-Q1,-0.989954,-1.727184,0.107405,-0.879263
2018-Q2,-1.007918,-1.755336,0.557967,-0.612193
2018-Q3,-0.978513,-1.649621,-0.780464,-0.643539
2018-Q4,-0.51405,-1.162413,0.645608,-0.6473
2019-Q1,-0.264062,-1.078817,-0.378057,-0.480538
2019-Q2,-0.11554,-0.803326,-0.154062,-0.234784
2019-Q3,-0.075264,-0.940066,0.192641,-0.069275
2019-Q4,-0.179784,-0.680087,-0.21178,-0.781462
2020-Q1,-0.082098,-0.610568,-1.300322,-0.71877
2020-Q2,-0.163943,-0.411203,-3.20397,-1.046025
2020-Q3,-0.138835,-0.586438,-1.864308,-0.747608
2020-Q4,-0.272294,-0.861929,-1.343667,-0.81657
2021-Q1,-0.452757,-1.123918,-0.51044,-1.101194
2021-Q2,-0.341559,-1.015618,0.638505,-0.874247
2021-Q3,-0.187756,-0.653946,-0.337285,-0.578339
2021-Q4,-0.051037,-0.528122,-0.635441,-0.613446
2022-Q1,0.850711,-0.425854,-0.047518,-0.503108
2022-Q2,1.591978,-0.024539,0.311265,0.414711
2022-Q3,2.173799,0.220214,0.140739,0.745728
2022-Q4,2.590946,0.549712,-0.368157,0.345749
2023-Q1,2.693913,0.519262,-0.454567,0.052348
2023-Q2,2.685785,0.63934,-0.169219,-0.307507
2023-Q3,2.378283,0.415845,-0.485384,-0.091845
2023-Q4,1.803554,0.562927,0.046555,-0.564546
2024-Q1,1.149154,0.390852,0.091242,-0.762655
2024-Q2,0.873023,0.375914,-0.752668,-0.567054
2024-Q3,0.658703,0.363274,-0.202552,-0.770178
2024-Q4,1.005342,0.728394,0.287719,-0.982078
